Plant Code,Plant Name,State,County,solar_mw,Latitude,Longitude,landfalls_100km
65955,"Landrace Holdings, LLC",SC,Horry,55.0,33.723937,-79.091998,17
64307,New Orleans Solar Station,LA,Orleans,20.0,30.015,-89.92,17
64447,Brazoria West,TX,Brazoria,200.0,29.191,-95.663,16
63273,Wagyu,TX,Brazoria,120.0,29.242304,-95.658144,16
61024,Hammock Solar,FL,Hendry,74.5,26.692646,-81.324953,16
65422,FPL Chipola River Solar Energy Center,FL,Calhoun,74.5,30.45463,-85.27853,16
65592,FPL Saw Palmetto Solar Energy Center,FL,Bay,74.5,30.419835,-85.441493,16
65593,FPL Cypress Pond Solar,FL,Washington,74.5,30.4213,-85.44103,16
65911,Mitchell Creek,FL,Escambia,74.5,30.92851,-87.26414,16
60149,"Innovative Solar 43, LLC",NC,Bladen,50.8,34.529956,-78.304811,16
64133,"Old 300 Solar Center, LLC",TX,Fort Bend,430.0,29.33355,-95.82544,15
62945,Fighting Jays Solar Project,TX,Fort Bend,227.5,29.358425,-95.746388,15
66262,Cutlass Solar II,TX,Fort Bend,202.8,29.39,-95.78,15
66046,Brazoria County Solar Project (Danciger),TX,Brazoria,200.0,29.1779,-95.7612,15
65981,Second Division Solar,TX,Brazoria,100.0,29.170545,-95.741574,15
62206,Hibiscus Solar Energy Center,FL,Palm Beach,74.5,26.7601,-80.3065,15
66157,Red Tailed Hawk Solar LLC,TX,Wharton,350.0,29.159228,-96.141572,14
65661,Nebula Solar,TX,Cameron,135.0,26.090103,-97.798453,14
66310,Cutlass Solar 1 LLC,TX,Fort Bend,110.9,29.409669,-95.73405,14
67159,Liberty County Solar Project,TX,Liberty,109.9,29.95888,-94.85048,14
64145,Bay Trail Solar Power Plant,FL,Citrus,74.9,28.99999,-82.672244,14
63110,Sabal Palm Solar Center,FL,Palm Beach,74.5,26.782655,-80.352619,14
65878,Silver Palm,FL,Palm Beach,74.5,26.78768,-80.35192,14
65662,Vancourt Solar Interconnections,TX,Cameron,45.0,26.090103,-97.798453,14
64927,Aktina Solar,TX,Wharton,500.0,29.122,-96.276,13
65173,Hardeetown Solar Power Plant,FL,Levy,74.9,29.48562,-82.843455,13
65421,Chautauqua Solar Energy Center,FL,Walton,74.5,30.87576,-86.20813,13
61701,Seabrook Solar,SC,Beaufort,72.5,32.56445,-80.742047,13
63976,Bay Tree,NC,Bladen,70.1,34.70414,-78.393358,13
63985,Fort Bend Solar LLC,TX,Fort Bend,240.0,29.560311,-95.98036,12
68474,Peacock Energy Project,TX,San Patricio,150.0,28.000395,-97.387902,12
64469,Wing,AL,Covington,80.0,31.007777,-86.59194,12
61052,Loggerhead Solar Energy Center,FL,St Lucie,74.5,27.237778,-80.541389,12
61768,Interstate Solar Energy Center,FL,St Lucie,74.5,27.5,-80.44,12
62394,Sweetbay Solar Center,FL,Martin,74.5,27.060112,-80.474488,12
65039,Sundew,FL,St Lucie,74.5,27.264113,-80.546851,12
65420,Bluefield Preserve Solar,FL,St Lucie,74.5,27.24354,-80.67097,12
65428,Pink Trial Solar Energy Center,FL,St Lucie,74.5,27.29783,-80.54214,12
65865,Pineapple,FL,St Lucie,74.5,27.2551,-80.57123,12
65869,White Tail,FL,Martin,74.5,27.07794,-80.37925,12
65872,Monarch,FL,Martin,74.5,27.03074,-80.5248,12
65874,Beautyberry,FL,Hendry,74.5,26.36044,-81.02654,12
65910,Wild Quail,FL,Walton,74.5,30.89805,-86.25007,12
60658,Moffett Solar Project,SC,Jasper,71.4,32.620653,-80.995994,12
60540,Innovative Solar 31,NC,Bladen,35.0,34.539425,-78.755394,12
66544,Moonshot,MS,Hancock,78.5,30.437172,-89.502896,11
59993,Babcock Solar Energy Center Hybrid,FL,Charlotte,74.5,26.861592,-81.751011,11
60061,Citrus Solar Energy Center Hybrid,FL,DeSoto,74.5,27.320919,-81.806863,11
61020,Indian River Solar Center,FL,Indian River,74.5,27.573256,-80.578178,11
61029,Blue Cypress Solar Energy Center,FL,Indian River,74.5,27.609456,-80.537189,11
61050,Wildflower Solar Energy Center,FL,Desoto,74.5,27.316187,-81.783899,11
61051,Barefoot Bay Solar Energy Center,FL,Brevard,74.5,27.865833,-80.521111,11
62632,Cattle Ranch,FL,DeSoto,74.5,27.321884,-81.809077,11
62634,Babcock Preserve,FL,Charlotte,74.5,26.857879,-81.759645,11
62917,Rodeo Solar Center,FL,DeSoto,74.5,27.32063,-81.81024,11
62919,Orange Blossom Solar Center,FL,Indian River,74.5,27.59686,-80.57071,11
62921,Palm Bay Solar,FL,Brevard,74.5,27.8421,-80.631554,11
62922,Lakeside Solar Center,FL,Okeechobee,74.5,27.21421,-80.74458,11
62924,Pelican Solar Center,FL,St Lucie,74.5,27.522,-80.54726,11
63754,Gulf Power Blue Indigo Energy,FL,Jackson,74.5,30.877262,-85.40065,11
65038,Ghost Orchid Solar Energy Center,FL,Hendry,74.5,26.417212,-81.03531,11
65042,Grove,FL,Indian River,74.5,27.580883,-80.652711,11
65873,Turnpike,FL,Indian River,74.5,27.56702,-80.64496,11
65879,Pecan Tree,FL,Walton,74.5,30.938167,-86.240111,11
65920,Buttonwood,FL,St Lucie,74.5,27.550293,-80.671106,11
65921,Honeybell,FL,Okeechobee,74.5,27.50809,-80.73638,11
65925,Orchard,FL,St Lucie,74.5,27.55776,-80.5701,11
65926,Hawthorne Creek,FL,DeSoto,74.5,27.08314,-81.84124,11
56929,DeSoto Next Generation Solar Energy,FL,DeSoto,25.0,27.3232,-81.8019,11
65034,Bernard Creek Solar,TX,Wharton,230.0,29.45527,-96.088253,10
67284,Ganado Solar,TX,Jackson,150.5,29.109147,-96.528761,10
62544,Wilkinson Solar LLC,NC,Beaufort,80.6,35.596814,-76.763849,10
62543,Trenton Solar Power Plant,FL,Gilchrist,74.9,29.635051,-82.843085,10
62491,Okeechobee Solar,FL,Okeechobee,74.5,27.630392,-80.794784,10
62493,Southfork Solar,FL,Manatee,74.5,27.573193,-82.191421,10
63978,Duette Solar Power Plant,FL,Manatee,74.5,27.585836,-82.061964,10
64300,Fort Drum Energy Center,FL,Okeechobee,74.5,27.607892,-80.75812,10
64301,Willow Solar Energy Center,FL,Manatee,74.5,27.448142,-82.080693,10
65037,Sawgrass Solar Energy Center,FL,Hendry,74.5,26.381386,-81.053721,10
65438,FPL Cavendish Solar Energy Center,FL,Okeechobee,74.5,27.627009,-80.804159,10
65863,Three Creeks,FL,Manatee,74.5,27.57934,-82.26058,10
65864,Sambucus,FL,Manatee,74.5,27.44844,-82.06377,10
65868,Prairie Creek FL,FL,DeSoto,74.5,27.074158,-81.696566,10
65877,Ibis,FL,Brevard,74.5,27.848073,-80.695504,10
67207,Gilchrist County Solar,FL,Alachua,74.5,29.618349,-82.670179,10
61664,Mountain View Solar (FL),FL,Pasco,54.6,28.39799,-82.22043,10
63187,"FL Solar 4, LLC",FL,Leon,42.0,30.2354,-84.2233,10
60582,CoTAL Solar Farm,FL,Leon,20.0,30.37926,-84.353938,10
61982,Columbia Solar Power Plant,FL,Columbia,74.9,29.882644,-82.696145,9
63517,Santa Fe Solar Power Plant,FL,Columbia,74.9,29.880408,-82.732589,9
65170,Hildreth Solar Power Plant,FL,Suwannee,74.9,29.964842,-82.823199,9
65172,High Springs Solar Power Plant,FL,Alachua,74.9,29.810018,-82.639837,9
67049,County Line Renewable Energy Center,FL,Gilchrist,74.9,29.812218,-82.67597,9
64757,Blue Springs,FL,Jackson,74.5,30.782897,-85.078686,9
65041,Elder Branch,FL,Manatee,74.5,27.5966,-82.25272,9
65430,Wild Azalea Solar Energy Center,FL,Gadsden,74.5,30.6758,-84.74033,9
65432,Apalachee,FL,Jackson,74.5,30.76055,-85.06952,9
65519,Bell Ridge Solar,FL,Gilchrist,74.5,29.718728,-82.710783,9
65875,Woodyard,FL,Hendry,74.5,26.40932,-81.04845,9
67205,Gadsden County Solar,FL,Gadsden,74.5,30.656542,-84.724394,9
67206,Columbia County Solar,FL,Columbia,74.5,29.882422,-82.73425,9
65683,Juniper Solar (FL),FL,Pasco,70.0,28.181569,-82.155331,9
66129,Dover Solar and Battery Storage,FL,Hillsborough,25.0,27.955865,-82.201381,9
61490,Estill Solar,SC,Hampton,20.0,32.763843,-81.242151,9
61498,Hampton Solar 2,SC,Hampton,20.0,32.881,-81.136,9
64657,Magnolia Solar,FL,Polk,74.5,27.917716,-82.048697,8
61654,Balm Solar,FL,Hillsborough,74.4,27.76284,-82.23463,8
58848,Warsaw Farm,NC,Duplin,65.0,35.005556,-78.125833,8
65684,Laurel Oaks Solar,FL,Hillsborough,61.2,27.926882,-82.067668,8
61693,Buckleberry Solar,NC,Lenoir,52.1,35.380683,-77.405992,8
59669,Innovative Solar 54,NC,Lenoir,50.0,35.213697,-77.712408,8
64641,Big Bend II Solar,FL,Hillsborough,45.8,27.781988,-82.390452,8
59865,Fort Stewart Solar Facility,GA,Liberty,30.0,31.90474,-81.595373,8
66921,English Creek Solar,FL,Hillsborough,23.0,27.945756,-82.067228,8
63721,Cool Springs Solar (Hybrid),GA,Decatur,213.0,30.747916,-84.680492,7
63271,Huntley,SC,Orangeburg,75.0,33.335583,-80.634174,7
64533,Fort Green Solar Power Plant,FL,Hardee,74.9,27.641125,-81.941581,7
66553,Winquepin Renewable Energy Center,FL,Madison,74.9,30.282497,-83.298234,7
61667,Wimauma Solar and Battery Storage,FL,Hillsborough,74.8,27.730414,-82.263505,7
60014,Manatee Solar Energy Center,FL,Manatee,74.5,27.607469,-82.355275,7
61663,Lithia Solar,FL,Hillsborough,74.5,27.753272,-82.164656,7
62750,Little Manatee River Solar,FL,Hillsborough,74.5,27.691262,-82.410575,7
65908,Norton Creek,FL,Madison,74.5,30.390039,-83.343948,7
61665,Payne Creek Solar,FL,Polk,70.3,27.664583,-81.964222,7
61656,Grange Hall Solar,FL,Hillsborough,61.1,27.681278,-82.164656,7
65687,Riverside Solar,FL,Hillsborough,55.2,27.68368,-82.47243,7
61655,Bonnie Mine Solar,FL,Polk,37.5,27.89008,-81.98717,7
66639,Falmouth Renewable Energy Center,FL,Suwannee,74.9,30.3436,-83.1562,6
62631,Blue Heron Solar,FL,Hendry,74.5,26.701639,-81.129155,6
65871,Caloosahatchee,FL,Hendry,74.5,26.75408,-81.18562,6
65909,Hendry Isles,FL,Hendry,74.5,26.749144,-81.192089,6
67203,Bullfrog Creek Solar,FL,Hillsborough,74.5,27.660584,-82.295627,6
61653,Alafia Solar,FL,Polk,60.0,27.723197,-82.025608,6
63495,Durrance,FL,Polk,60.0,27.78,-81.98,6
61657,Lake Hancock Solar,FL,Polk,49.5,27.719139,-82.033889,6
59518,Grandy PV 1,NC,Currituck,20.0,36.233611,-75.880833,6
59530,Pasquotank,NC,Pasquotank,20.0,36.264722,-76.306111,6
64169,Albemarle Beach Solar,NC,Washington,130.2,35.928188,-76.620452,5
64683,"Oak Trail Solar, LLC",NC,Currituck,100.0,36.5044,-76.1887,5
62828,TWE Bowman Solar Project,SC,Orangeburg,75.0,33.316159,-80.68244,5
61807,Hamilton Solar Power Plant,FL,Hamilton,74.9,30.444324,-83.186935,5
64631,Jamison Solar (FL),FL,Polk,74.5,27.806645,-81.955676,5
67208,Harmony Florida Solar II,FL,Osceola,74.5,28.16701,-81.084167,5
60611,Summit Farms Solar,NC,Currituck,62.4,36.4765,-76.136,5
61813,"Ranchland Solar, LLC",NC,Currituck,60.0,36.472591,-76.154089,5
59155,Shawboro PV1,NC,Currituck,20.0,36.433333,-76.087222,5
64535,Camden Solar LLC,NC,Camden,20.0,36.30786,-76.144486,5
62679,Palmetto Plains,SC,Orangeburg,75.0,33.340179,-80.697336,4
63982,Charlie Creek Solar Power Plant,FL,Hardee,74.9,27.639778,-81.654367,4
62490,Echo River Solar,FL,Suwannee,74.5,30.296207,-82.864333,4
63109,Discovery Solar Center,FL,Brevard,74.5,28.528933,-80.6789,4
