Plant Code,Plant Name,State,County,solar_mw,Latitude,Longitude,onset_cat,surge_exposed,surge_descr,depth_source
66990,Washington County Solar,GA,Washington,150.0,32.989939,-82.71381,,False,no-surge/NoData,NOAA_CFEM_composite
66954,Umbriel Solar,TX,Polk,150.0,30.668754,-94.783466,,False,no-surge/NoData,NOAA_CFEM_composite
62933,Oberon IA,TX,Ector,150.0,31.703258,-102.701206,,False,no-surge/NoData,NOAA_CFEM_composite
65322,Fort Powhatan Solar,VA,Prince George,150.0,37.26,-77.08,,False,no-surge/NoData,NOAA_CFEM_composite
68474,Peacock Energy Project,TX,San Patricio,150.0,28.000395,-97.387902,,False,no-surge/NoData,NOAA_CFEM_composite
60581,Upton County Solar,TX,Upton,150.0,31.241808,-102.29027,,False,no-surge/NoData,NOAA_CFEM_composite
65291,Golden Triangle II,MS,Lowndes,150.0,33.4155,-88.6223,,False,no-surge/NoData,NOAA_CFEM_composite
64335,Quitman II Solar,GA,Brooks,150.0,30.86205,-83.65165,,False,no-surge/NoData,NOAA_CFEM_composite
63519,Crane Solar Project,TX,Crane,150.0,31.254361,-102.31165,,False,no-surge/NoData,NOAA_CFEM_composite
59897,Taylor County Solar,GA,Taylor,148.0,32.583056,-84.297222,,False,no-surge/NoData,NOAA_CFEM_composite
63892,Lily Solar Hybrid,TX,Kaufman,146.7,32.533273,-96.428985,,False,no-surge/NoData,NOAA_CFEM_composite
57659,East Blackland Solar Project 1,TX,Travis,144.0,30.4214,-97.4614,,False,no-surge/NoData,NOAA_CFEM_composite
66111,Elizabeth Solar Plant,LA,Allen,142.8,30.81981,-92.971755,,False,no-surge/NoData,NOAA_CFEM_composite
61985,Colonial Trail West,VA,Surry,142.4,37.138889,-76.902222,,False,no-surge/NoData,NOAA_CFEM_composite
65975,Starr Solar Ranch,TX,Starr,136.0,26.523359,-99.017108,,False,no-surge/NoData,NOAA_CFEM_composite
65976,Prairie Ronde Solar Farm,LA,St Landry,135.0,30.61,-92.17,,False,no-surge/NoData,NOAA_CFEM_composite
65661,Nebula Solar,TX,Cameron,135.0,26.090103,-97.798453,,False,no-surge/NoData,NOAA_CFEM_composite
63764,Elm Branch Solar 1,TX,Ellis,134.7,32.23256,-96.706121,,False,no-surge/NoData,NOAA_CFEM_composite
64204,Elara Solar,TX,Frio,132.4,28.883196,-99.178605,,False,no-surge/NoData,NOAA_CFEM_composite
66541,Chesapeake Solar Project,VA,Chesapeake City,132.0,36.685103,-76.29661,,False,no-surge/NoData,NOAA_CFEM_composite
66133,"Bartonsville Energy Facility, LLC",VA,Frederick,130.0,39.088731,-78.239904,,False,no-surge/NoData,NOAA_CFEM_composite
61648,Robins Air Force Base Solar,GA,Bibb,128.0,32.681222,-83.616387,,False,no-surge/NoData,NOAA_CFEM_composite
63769,Briar Creek Solar 1,TX,Navarro,127.0,32.067483,-96.585136,,False,no-surge/NoData,NOAA_CFEM_composite
66314,Bookers Mill Solar,VA,Richmond,127.0,37.86,-76.56,,False,no-surge/NoData,NOAA_CFEM_composite
62772,Coniglio Solar,TX,Fannin,123.6,33.404486,-96.082472,,False,no-surge/NoData,NOAA_CFEM_composite
65319,Maplewood Solar,VA,Pittsylvania,120.0,36.89,-79.32,,False,no-surge/NoData,NOAA_CFEM_composite
62375,"Dougherty County Solar, LLC",GA,Dougherty,120.0,31.512003,-84.044499,,False,no-surge/NoData,NOAA_CFEM_composite
